index,title,genres,story_line,cast,director
0,Jawan,"Action, Drama, Thriller",,"Shah Rukh Khan,Nayanthara,Vijay Sethupathi,Deepika Padukone",Atlee
1,Gaslight,"Crime, Mystery, Thriller","Misha, who returns to her royal family estate after 15 years to visit her estranged father, only to find him missing.","Sara Ali Khan,Vikrant Massey,Chitrangda Singh,Rahul Dev",Pavan Kirpalani
2,Tiger 3,"Action, Adventure, Thriller",,"Salman Khan,Katrina Kaif,Shah Rukh Khan",Maneesh Sharma
3,Am I Next,Crime,"A sudden shock grabs the family of 14-year old Honey, when they get to know that their teenage daughter is pregnant. She was raped and now there is a long court battle to seek her right to terminate the pregnancy.","Anushka Sen,Neelu Dogra,Tariq Khan,Ahmer Haider",Rahat Kazmi
4,Shehzada,"Action, Comedy, Drama","Bantu is hated by his father Valmiki since he was a toddler. Samara, his boss, shows him affection and love until he discovers that the Jindals are his parents. Bantu decides to seek Jindals love and protect them from threats they facing.","Kartik Aaryan,Kriti Sanon,Paresh Rawal,Manisha Koirala",Rohit Dhawan
5,Gumraah,"Action, Crime, Drama","The murder investigation of a young man , takes an unexpected turn when the cops discover that the prime suspect has a lookalike.","Mrunal Thakur,Aditya Roy Kapoor,Ronit Roy,Vedika Pinto",Vardhan Ketkar
6,Animal,"Action, Crime, Drama",A gangster drama that explores the turbulent relationships between all the characters that eventually lead to the protagonist becoming an 'animal' in nature.,"Ranbir Kapoor,Rashmika Mandanna,Anil Kapoor,Fahim Fazli",Sandeep Reddy Vanga
7,Yodha,"Action, Drama, Thriller",An Aeroplane hijack where a soldier helps the passenger and fight against the terrorist. But the damage to the flight engine made it very tough to survive the situation.,"Raashi Khanna,Disha Patani,Sidharth Malhotra,Rahul Sahu",
8,Lohardaga,Drama,"A twenty year old boy Manu, who dreams of joining the Indian Army, ends up joining Maoists because of a dubious job agent, who manipulates Manu that the government is awarding jobs to the Maoists who surrender.","Priya Ambust,Raquib Arshad,Sanjay Barman,Amit Kumar Bhagat",Lal Vijay Shahdeo
9,Bade Miyan Chote Miyan,"Action, Comedy, Thriller",,"Akshay Kumar,Janhvi Kapoor,Tiger Shroff,Alaya F",Ali Abbas Zafar
10,Gandhi Godse Ek Yudh,"Drama, History",The fictional world where Mahatma Gandhi survives the attack on him and later meets Nathuram Godse in prison. Their conversation leads to a fiery debate between them.,"Deepak Antani,Chinmay Mandlekar,Tanisha Santoshi,Anuj Saini",Rajkumar Santoshi
